Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:56:53.168] ,52.1,20.5,68.9,0
[2022-11-18 08:56:54.175] ,52.1,20.5,68.9,0
[2022-11-18 08:56:55.179] ,52.1,20.5,68.9,0
[2022-11-18 08:56:56.186] ,52.1,20.5,68.9,0
[2022-11-18 08:56:57.185] ,52.1,20.5,68.9,0
[2022-11-18 08:56:58.195] ,52.1,20.5,68.9,0
[2022-11-18 08:56:59.196] ,52.1,20.5,68.9,0
[2022-11-18 08:57:00.204] ,52,20.5,68.9,0
[2022-11-18 08:57:01.208] ,52,20.5,68.9,0
[2022-11-18 08:57:02.215] ,52,20.5,68.9,0
[2022-11-18 08:57:03.218] ,52,20.5,68.9,0
[2022-11-18 08:57:04.226] ,52,20.5,68.9,0
[2022-11-18 08:57:05.230] ,52,20.5,68.9,0
[2022-11-18 08:57:06.237] ,52,20.5,68.9,0
[2022-11-18 08:57:07.239] ,52,20.5,68.9,0
[2022-11-18 08:57:08.248] ,52.1,20.5,68.9,0
[2022-11-18 08:57:09.247] ,52.1,20.5,68.9,0
[2022-11-18 08:57:10.259] ,52.1,20.5,68.9,0
[2022-11-18 08:57:11.259] ,52.1,20.5,68.9,0
[2022-11-18 08:57:12.265] ,52.1,20.5,68.9,0
[2022-11-18 08:57:13.269] ,52.1,20.5,68.9,0
[2022-11-18 08:57:14.277] ,52.1,20.5,68.9,0
[2022-11-18 08:57:15.280] ,52.1,20.5,68.9,0
[2022-11-18 08:57:16.288] ,52.1,20.5,68.9,0
[2022-11-18 08:57:17.289] ,52.1,20.5,68.9,0
[2022-11-18 08:57:18.296] ,52.1,20.5,68.9,0
[2022-11-18 08:57:19.302] ,52.1,20.5,68.9,0
[2022-11-18 08:57:20.310] ,52.1,20.5,68.9,0
[2022-11-18 08:57:21.310] ,52.1,20.5,68.9,0
[2022-11-18 08:57:22.320] ,52.1,20.5,68.9,0
[2022-11-18 08:57:23.319] ,52.1,20.5,68.9,0
[2022-11-18 08:57:24.327] ,52,20.5,68.9,0
[2022-11-18 08:57:25.331] ,52,20.5,68.9,0
[2022-11-18 08:57:26.339] ,52,20.5,68.9,0
[2022-11-18 08:57:27.341] ,52,20.5,68.9,0
